Dataset Parameters,Mean Wait Time (FIFO),Wait Time Stdev (FIFO),Mean Wait Time (GP),Wait Time Stdev (GP),Mean Unload Time (FIFO),Unload Time Stdev (FIFO),Mean Unload Time (GP),Unload Time Stdev (GP),Mean Overtime (FIFO),Overtime Stdev (FIFO),Mean Overtime (GP),Overtime Stdev (GP)
"Trucks: 12, Peaks: [[16, 1], [11, 0.6]], Spread: 3, Seed: 299194",388.33,34.68,352.8,33.66,627.15,11.10,627.15,11.10,34.13,5.22,34.15,5.24
"Trucks: 12, Peaks: [[15, 1], [10, 0.6]], Spread: 3, Seed: 17522",115.34,20.31,105.26,15.09,545.91,15.05,548.44,14.06,0.0,0.00,0.0,0.00
"Trucks: 12, Peaks: [[15, 1], [10, 0.6]], Spread: 3, Seed: 148175",73.37,11.99,69.14,8.92,610.5,27.68,588.76,12.05,29.54,7.21,29.54,7.21
"Trucks: 16, Peaks: [[16, 1], [13, 0.6]], Spread: 3, Seed: 884661",479.15,46.40,416.84,30.80,724.63,17.37,691.97,12.97,309.52,24.25,305.06,21.89
"Trucks: 16, Peaks: [[17, 1], [11, 0.6]], Spread: 3, Seed: 238540",571.66,39.40,408.69,31.91,700.06,26.98,687.64,14.26,707.66,37.64,552.63,35.08
"Trucks: 16, Peaks: [[16, 1], [11, 0.6]], Spread: 3, Seed: 882997",232.21,23.13,225.25,23.99,610.04,15.71,578.47,12.93,50.65,17.27,48.31,13.50
"Trucks: 16, Peaks: [[17, 1], [10, 0.6]], Spread: 3, Seed: 240383",465.69,34.39,409.83,24.48,829.67,29.01,819.02,13.65,29.47,25.44,18.08,4.42
"Trucks: 20, Peaks: [[9, 1], [16, 0.6]], Spread: 4, Seed: 507683",3144.6,114.15,2390.92,73.23,1058.77,19.91,1062.87,12.58,126.39,34.09,81.78,11.79
"Trucks: 16, Peaks: [[17, 1], [13, 0.6]], Spread: 3, Seed: 797100",534.81,59.59,448.7,33.56,835.75,18.94,796.37,11.93,331.08,48.92,259.33,21.56
"Trucks: 16, Peaks: [[15, 1], [9, 0.6]], Spread: 3, Seed: 666020",486.3,23.83,413.49,21.23,736.51,17.24,712.03,13.04,20.95,7.11,20.95,7.11
"Trucks: 16, Peaks: [[16, 1], [10, 0.6]], Spread: 3, Seed: 597157",1208.72,64.91,1029.25,54.08,830.21,16.26,804.75,14.89,745.73,55.12,593.89,45.53
"Trucks: 20, Peaks: [[13, 1], [16, 0.6]], Spread: 4, Seed: 696414",1776.91,126.47,1135.36,52.41,1144.33,19.24,1088.77,15.78,207.43,32.92,138.36,20.10
"Trucks: 12, Peaks: [[14, 1], [10, 0.6]], Spread: 4, Seed: 440122",296.79,40.55,250.14,36.12,575.14,14.07,562.74,12.55,55.95,12.15,52.44,7.68
"Trucks: 16, Peaks: [[15, 1], [9, 0.6]], Spread: 3, Seed: 214814",620.76,28.49,336.41,24.36,848.99,14.45,799.35,13.91,9.46,8.92,10.22,7.63
"Trucks: 12, Peaks: [[14, 1], [11, 0.6]], Spread: 4, Seed: 732922",1163.55,48.82,944.51,47.45,650.04,12.03,607.92,11.20,333.54,30.05,270.34,25.88
"Trucks: 12, Peaks: [[15, 1], [11, 0.6]], Spread: 4, Seed: 917159",67.39,17.75,68.34,18.23,495.27,11.57,454.73,11.32,31.82,6.63,31.84,6.64
"Trucks: 20, Peaks: [[14, 1], [10, 0.6]], Spread: 3, Seed: 16652",2837.84,81.69,2137.86,83.00,1078.71,14.65,1040.13,14.88,1670.45,65.60,1134.05,59.20
"Trucks: 20, Peaks: [[14, 1], [9, 0.6]], Spread: 3, Seed: 495227",1063.66,70.94,822.35,65.76,1138.34,19.36,1109.51,16.58,8.82,8.74,2.73,5.60
"Trucks: 12, Peaks: [[15, 1], [9, 0.6]], Spread: 4, Seed: 190526",588.09,49.33,501.79,39.03,585.83,12.01,581.31,9.34,340.77,32.62,313.99,25.61
"Trucks: 20, Peaks: [[16, 1], [9, 0.6]], Spread: 3, Seed: 147780",1359.54,47.72,1123.4,48.41,994.28,17.42,978.15,16.54,766.12,41.28,604.21,36.71
